Date,Cycle Count,Maximum Capacity (%)
2021/08/29,0,100
2022/08/20,255,87
2022/10/30,299,87
2023/01/07,335,87
2023/02/05,351,87
2023/03/09,373,87
2023/03/25,383,87
2023/05/21,429,87
2023/06/23,459,87
2023/08/11,488,87
2023/10/11,526,87
2023/11/08,547,86
2023/11/30,565,86
2023/12/26,587,86
2024/02/24,643,85
2024/03/16,669,85
2024/04/03,687,85
2024/04/08,691,85
2024/04/16,697,85
2024/04/29,713,85
2024/05/06,721,85
2024/05/20,734,85
2024/05/27,743,85
2024/06/03,750,85
2024/06/10,758,85
2024/06/17,768,85
2024/06/21,771,85
